idx,b_mm,theta_lo_deg,theta_hi_deg,theta_a0_deg,midpoint_deg,swing_deg,monotonic
206,-0.624248496993988,72.4574155436208,-35.6773672459654,14.5974775969764,18.3900241488277,108.134782789586,1
207,-0.610220440881764,72.5488382607684,-35.7688334282968,14.5803074010653,18.3900024162358,108.317671689065,1
208,-0.596192384769539,72.6405296114211,-35.8605373583437,14.5630522170382,18.3899961265387,108.501066969765,1
209,-0.582164328657315,72.7324904472654,-35.9524797315034,14.545711414178,18.390005357881,108.684970178769,1
210,-0.56813627254509,72.8247216208971,-36.0446612446456,14.5282843555293,18.3900301881257,108.869382865543,1
211,-0.554108216432866,72.9172239857879,-36.1370825961085,14.5107703978221,18.3900706948397,109.054306581896,1
212,-0.540080160320641,73.0099983962512,-36.2297444856963,14.493168891393,18.3901269552775,109.239742881948,1
213,-0.526052104208417,73.1030457074071,-36.322647614675,14.4754791801061,18.3901990463661,109.425693322082,1
214,-0.512024048096192,73.1963667751474,-36.4157926857696,14.4577006012725,18.3902870446889,109.612159460917,1
215,-0.497995991983968,73.2899624560991,-36.5091804031607,14.4398324855682,18.3903910264692,109.79914285926,1
216,-0.483967935871743,73.383833607588,-36.602811472481,14.4218741569516,18.3905110675535,109.986645080069,1
217,-0.469939879759519,73.4779810876014,-36.696686600812,14.4038249325788,18.3906472433947,110.174667688413,1
218,-0.455911823647295,73.57240575475,-36.7908064966805,14.3856841227184,18.3907996290347,110.36321225143,1
219,-0.44188376753507,73.6671084682291,-36.8851718700555,14.3674510306644,18.3909682990868,110.552280338285,1
220,-0.427855711422846,73.7620900877797,-36.9797834323444,14.3491249526488,18.3911533277177,110.741873520124,1
221,-0.413827655310621,73.857351473648,-37.0746418963901,14.3307051777511,18.3913547886289,110.931993370038,1
222,-0.399799599198397,73.9528934865449,-37.1697479764674,14.3121909878084,18.3915727550388,111.122641463012,1
223,-0.385771543086172,74.0487169876048,-37.2651023882793,14.2935816573231,18.3918072996627,111.313819375884,1
224,-0.371743486973948,74.1448228383432,-37.3607058489544,14.2748764533686,18.3920584946944,111.505528687298,1
225,-0.357715430861723,74.2412119006142,-37.4565590770427,14.2560746354955,18.3923264117858,111.697770977657,1
226,-0.343687374749499,74.3378850365666,-37.552662792513,14.2371754556338,18.3926111220268,111.89054782908,1
227,-0.329659318637275,74.4348431085998,-37.6490177167492,14.218178157996,18.3929126959253,112.083860825349,1
228,-0.31563126252505,74.532086979319,-37.7456245725471,14.1990819789772,18.393231203386,112.277711551866,1
229,-0.301603206412826,74.6296175114894,-37.842484084111,14.1798861470541,18.3935667136892,112.4721015956,1
230,-0.287575150300601,74.7274355679893,-37.9395969770509,14.1605898826823,18.3939192954692,112.66703254504,1
231,-0.273547094188377,74.8255420117636,-38.0369639783789,14.1411923981927,18.3942890166924,112.862505990142,1
232,-0.259519038076152,74.923937705775,-38.134585816506,14.121692897685,18.3946759446345,113.058523522281,1
233,-0.245490981963928,75.0226235129558,-38.2324632212396,14.1020905769209,18.3950801458581,113.255086734195,1
234,-0.231462925851703,75.1216002961582,-38.3305969237795,14.0823846232144,18.3955016861894,113.452197219938,1
235,-0.217434869739479,75.2208689181037,-38.4289876567158,14.0625742153214,18.3959406306939,113.649856574819,1
236,-0.203406813627255,75.320430241332,-38.5276361540253,14.0426585233272,18.3963970436534,113.848066395357,1
237,-0.18937875751503,75.4202851281494,-38.6265431510689,14.0226367085318,18.3968709885403,114.046828279218,1
238,-0.175350701402806,75.5204344405757,-38.7257093845886,14.0025079233339,18.3973625279935,114.246143825164,1
239,-0.161322645290581,75.6208790402904,-38.8251355927051,13.9822713111131,18.3978717237926,114.446014632995,1
240,-0.147294589178357,75.7216197885786,-38.9248225149146,13.9619260061096,18.398398636832,114.646442303493,1
241,-0.133266533066132,75.8226575462759,-39.0247708920864,13.941471133303,18.3989433270947,114.847428438362,1
242,-0.119238476953908,75.9239931737115,-39.1249814664605,13.920905808288,18.3995058536255,115.048974640172,1
243,-0.105210420841683,76.0256275306519,-39.2254549816451,13.9002291371493,18.4000862745034,115.251082512297,1
244,-0.0911823647294589,76.1275614762428,-39.3261921826141,13.8794402163333,18.4006846468144,115.453753658857,1
245,-0.0771543086172345,76.2297958689505,-39.4271938157049,13.8585381325186,18.4013010266228,115.656989684655,1
246,-0.06312625250501,76.3323315665019,-39.5284606286166,13.8375219624843,18.4019354689426,115.860792195119,1
247,-0.0490981963927856,76.4351694258245,-39.6299933704075,13.8163907729756,18.4025880277085,116.065162796232,1
248,-0.0350701402805611,76.5383103029846,-39.7317927914935,13.7951436205679,18.4032587557456,116.270103094478,1
249,-0.0210420841683367,76.6417550531252,-39.8338596436461,13.7737795515284,18.4039477047396,116.475614696771,1
250,-0.00701402805611222,76.7455045304026,-39.9361946799911,13.7522976016753,18.4046549252057,116.681699210394,1
251,0.00701402805611222,76.8495595879223,-40.0387986550067,13.7306967962349,18.4053804664578,116.888358242929,1
252,0.0210420841683367,76.9539210776742,-40.1416723245226,13.7089761496964,18.4061243765758,117.095593402197,1
253,0.0350701402805611,77.058589850466,-40.2448164457183,13.6871346656641,18.4068867023739,117.303406296184,1
254,0.0490981963927856,77.1635667558565,-40.3482317771223,13.6651713367074,18.4076674893671,117.511798532979,1
